CContract,Central Contract
Contract,Contract
LContract,Local Contract
PContract,Pensionable Contract
Permanent,Permanent
Probation,Probation
Temporary,Temporary
TPermanent,Temp-Permanent
Expert,Expert
UNL,Unknown
