promotion,Promotion
demotion,Demotion
dismissal,Dismissal
death,Death
illness,Illness
leave_wo_pay,Leave without pay
international_assignment,International assignment
abandonment,Abandonment
regisnation,Resignation
transfer,Transfer
redesignation,Re-designation
retirement,Retirement
termination,Termination of contract
aboliation,Abolition of office
end_probation,End of probation
